epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,17253.6,0.82724,0.78816,1.41767,0.83882,0.80488,0.86644,0.58698,1.05908,0.87549,1.65333,0.000371885,0.000371885,0.000371885
178,17350.9,0.81869,0.78958,1.40609,0.80274,0.80217,0.84945,0.5775,1.06318,0.90573,1.65477,0.000366899,0.000366899,0.000366899
179,17448,0.82123,0.77347,1.40113,0.83807,0.75742,0.84675,0.5734,1.08513,0.88461,1.68201,0.000361929,0.000361929,0.000361929
180,17545.3,0.85475,0.77974,1.44442,0.87279,0.75339,0.85692,0.5891,1.04616,0.87138,1.62954,0.000356975,0.000356975,0.000356975
181,17642.7,0.8434,0.76704,1.42674,0.85933,0.74498,0.84813,0.57659,1.09949,0.89009,1.68754,0.000352037,0.000352037,0.000352037
182,17739.9,0.81776,0.76615,1.41625,0.89123,0.75068,0.86771,0.58797,1.05587,0.85625,1.64282,0.000347115,0.000347115,0.000347115
183,17837.1,0.82511,0.7708,1.40475,0.82587,0.79675,0.85961,0.58826,1.0565,0.8665,1.64275,0.000342211,0.000342211,0.000342211
184,17934.3,0.80579,0.74527,1.38776,0.84562,0.78591,0.8726,0.5937,1.04331,0.86599,1.62019,0.000337325,0.000337325,0.000337325
185,18031.3,0.80383,0.73341,1.39959,0.86189,0.7832,0.86547,0.58911,1.07551,0.85502,1.64911,0.000332457,0.000332457,0.000332457
186,18128.3,0.79173,0.74067,1.38033,0.8162,0.82114,0.86433,0.58944,1.063,0.85293,1.65716,0.000327608,0.000327608,0.000327608
187,18225.4,0.80669,0.75838,1.4023,0.86435,0.77507,0.86055,0.57971,1.09745,0.87142,1.67539,0.000322778,0.000322778,0.000322778
188,18322.5,0.81329,0.76509,1.3844,0.8361,0.7742,0.8504,0.56771,1.07173,0.90994,1.64826,0.000317969,0.000317969,0.000317969
189,18419.5,0.8198,0.77219,1.40018,0.78103,0.81197,0.85475,0.5689,1.10451,0.90376,1.67971,0.00031318,0.00031318,0.00031318
190,18516.8,0.8004,0.75088,1.38696,0.8425,0.77507,0.84939,0.58121,1.08815,0.88394,1.68326,0.000308412,0.000308412,0.000308412
191,18614.3,0.8089,0.74215,1.39673,0.85691,0.7832,0.84809,0.57083,1.12622,0.88226,1.71179,0.000303665,0.000303665,0.000303665
192,18711.6,0.79526,0.75233,1.37932,0.80808,0.81572,0.85344,0.57618,1.09103,0.888,1.684,0.000298941,0.000298941,0.000298941
193,18808.8,0.82461,0.7631,1.41676,0.84142,0.75068,0.84505,0.56614,1.11963,0.89528,1.69808,0.000294239,0.000294239,0.000294239
194,18906,0.76638,0.71612,1.36891,0.83731,0.78109,0.84722,0.57038,1.09258,0.87763,1.68426,0.000289561,0.000289561,0.000289561
195,19003.1,0.77797,0.69665,1.36909,0.79824,0.80759,0.83912,0.56918,1.07575,0.88518,1.66191,0.000284906,0.000284906,0.000284906
196,19100.2,0.77308,0.7135,1.36209,0.85816,0.787,0.85337,0.56807,1.1041,0.89092,1.70056,0.000280275,0.000280275,0.000280275
197,19197.5,0.79058,0.7312,1.38655,0.81527,0.80217,0.84818,0.57629,1.07718,0.88716,1.67434,0.000275668,0.000275668,0.000275668
198,19294.6,0.77735,0.72877,1.37498,0.85947,0.77896,0.86322,0.58555,1.06461,0.86283,1.66257,0.000271087,0.000271087,0.000271087
199,19391.9,0.7896,0.72775,1.37977,0.83549,0.78454,0.84647,0.57587,1.05627,0.86201,1.6492,0.000266532,0.000266532,0.000266532
200,19489.2,0.75093,0.6993,1.34648,0.80759,0.8103,0.85119,0.58206,1.07539,0.86229,1.67385,0.000262003,0.000262003,0.000262003
201,19586.7,0.77014,0.71314,1.36577,0.80106,0.82935,0.8405,0.56362,1.10528,0.89031,1.70498,0.0002575,0.0002575,0.0002575
202,19684.1,0.76985,0.7208,1.35783,0.86748,0.77236,0.85764,0.57861,1.07395,0.88152,1.67615,0.000253024,0.000253024,0.000253024
203,19781.6,0.77841,0.72096,1.37788,0.85415,0.77766,0.84806,0.56734,1.10941,0.88221,1.71997,0.000248577,0.000248577,0.000248577
204,19878.9,0.77199,0.71753,1.36814,0.84748,0.78302,0.84935,0.57471,1.04748,0.83647,1.6498,0.000244157,0.000244157,0.000244157
205,19976.3,0.77835,0.70755,1.36773,0.81841,0.80217,0.84838,0.57466,1.05017,0.88375,1.65052,0.000239766,0.000239766,0.000239766
206,20073.6,0.76134,0.71909,1.34168,0.85595,0.75339,0.84766,0.56726,1.07951,0.89724,1.67038,0.000235404,0.000235404,0.000235404
207,20170.9,0.77881,0.72998,1.36873,0.77846,0.80488,0.8412,0.56981,1.03935,0.90866,1.63801,0.000231071,0.000231071,0.000231071
208,20268.3,0.74487,0.70535,1.34048,0.86588,0.75232,0.83932,0.56827,1.05236,0.86706,1.64422,0.000226769,0.000226769,0.000226769
209,20365.6,0.74339,0.6786,1.34133,0.83158,0.79404,0.85061,0.58201,1.03654,0.84898,1.63751,0.000222497,0.000222497,0.000222497
210,20463,0.74586,0.70281,1.33753,0.83635,0.79675,0.85575,0.57439,1.06334,0.86167,1.67631,0.000218256,0.000218256,0.000218256
211,20560.5,0.7725,0.71373,1.36668,0.81593,0.80488,0.85556,0.57732,1.06567,0.88954,1.67215,0.000214046,0.000214046,0.000214046
212,20657.8,0.73916,0.69842,1.32668,0.81672,0.77287,0.85133,0.57846,1.05289,0.89741,1.6628,0.000209869,0.000209869,0.000209869
213,20755.1,0.7571,0.69301,1.3535,0.83012,0.79133,0.85721,0.57548,1.06848,0.85724,1.67073,0.000205723,0.000205723,0.000205723
214,20852.5,0.73789,0.71246,1.33185,0.8189,0.79946,0.8644,0.58369,1.05321,0.86558,1.65348,0.000201611,0.000201611,0.000201611
215,20949.9,0.74196,0.6852,1.33515,0.84026,0.78862,0.86235,0.58089,1.06373,0.83997,1.66071,0.000197532,0.000197532,0.000197532
216,21047.1,0.75326,0.69053,1.34917,0.80455,0.82385,0.85256,0.57167,1.09037,0.85804,1.68563,0.000193486,0.000193486,0.000193486
217,21144.6,0.748,0.69732,1.34618,0.87649,0.76423,0.8579,0.58,1.08177,0.87353,1.67843,0.000189475,0.000189475,0.000189475
218,21245.4,0.73286,0.68643,1.33328,0.79081,0.82982,0.86273,0.58347,1.07573,0.86791,1.66725,0.000185498,0.000185498,0.000185498
219,21342.8,0.73798,0.69218,1.34234,0.7915,0.79214,0.8432,0.56085,1.10098,0.90095,1.6856,0.000181557,0.000181557,0.000181557
