epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4116.8,1.47225,1.61441,2.02604,0.64876,0.59892,0.67575,0.33789,1.52254,1.59634,2.12241,0.000955072,0.000955072,0.000955072
43,4214.46,1.51396,1.59454,2.04919,0.6555,0.67751,0.66311,0.33451,1.48365,1.5702,2.02994,0.000952889,0.000952889,0.000952889
44,4312.03,1.42634,1.55419,1.96957,0.70618,0.69044,0.72643,0.37836,1.49643,1.4949,2.04999,0.000950658,0.000950658,0.000950658
45,4409.62,1.46995,1.56205,2.00921,0.69094,0.67858,0.71187,0.34568,1.57313,1.52923,2.14893,0.000948377,0.000948377,0.000948377
46,4507.07,1.44596,1.5118,1.99842,0.71577,0.64832,0.71854,0.37912,1.4902,1.48351,2.04052,0.000946048,0.000946048,0.000946048
47,4604.71,1.42781,1.57824,1.97902,0.68333,0.66125,0.71265,0.38186,1.43207,1.48189,1.99582,0.000943671,0.000943671,0.000943671
48,4702.23,1.35572,1.47901,1.91726,0.69812,0.68312,0.72366,0.36891,1.481,1.48197,2.06907,0.000941245,0.000941245,0.000941245
49,4800.03,1.42584,1.4734,1.95853,0.74343,0.66747,0.75895,0.42071,1.4113,1.41001,1.96057,0.000938772,0.000938772,0.000938772
50,4897.7,1.39177,1.49015,1.94934,0.68577,0.67423,0.68601,0.38057,1.38374,1.52716,1.93884,0.000936251,0.000936251,0.000936251
51,4995.18,1.39433,1.45583,1.93088,0.75459,0.69648,0.74895,0.41138,1.44702,1.35157,2.02065,0.000933683,0.000933683,0.000933683
52,5092.77,1.3789,1.47128,1.92131,0.77775,0.66396,0.7684,0.4154,1.37579,1.39202,1.98484,0.000931067,0.000931067,0.000931067
53,5190.23,1.35901,1.44438,1.93343,0.74737,0.69919,0.77281,0.43651,1.38298,1.34406,1.94349,0.000928405,0.000928405,0.000928405
54,5287.93,1.36163,1.46017,1.90961,0.72049,0.62602,0.71773,0.3801,1.45009,1.49452,1.96899,0.000925697,0.000925697,0.000925697
55,5385.47,1.36974,1.42725,1.92817,0.69541,0.6868,0.73915,0.41212,1.39727,1.38225,1.94036,0.000922942,0.000922942,0.000922942
56,5482.84,1.32716,1.43329,1.90199,0.71802,0.68564,0.74847,0.4208,1.42655,1.38643,1.97334,0.000920142,0.000920142,0.000920142
57,5580.49,1.33733,1.40872,1.87761,0.72129,0.71274,0.76978,0.4609,1.35809,1.30365,1.90266,0.000917296,0.000917296,0.000917296
58,5678.04,1.30248,1.38683,1.86692,0.76762,0.68293,0.76285,0.44069,1.35855,1.38022,1.91683,0.000914405,0.000914405,0.000914405
59,5775.74,1.31544,1.35363,1.88113,0.76026,0.73049,0.77459,0.46129,1.34415,1.29182,1.90064,0.000911469,0.000911469,0.000911469
60,5873.5,1.33285,1.37597,1.88646,0.75323,0.74255,0.78657,0.46596,1.29799,1.29447,1.84389,0.000908488,0.000908488,0.000908488
61,5971.14,1.27372,1.33496,1.84502,0.73944,0.71523,0.75693,0.42007,1.39675,1.28655,1.98263,0.000905463,0.000905463,0.000905463
62,6068.61,1.26808,1.34086,1.85604,0.67053,0.6839,0.72665,0.41687,1.42174,1.40388,2.02695,0.000902395,0.000902395,0.000902395
63,6166.2,1.32587,1.39476,1.88343,0.72335,0.70151,0.75855,0.43829,1.3818,1.33147,1.95377,0.000899282,0.000899282,0.000899282
64,6263.85,1.26807,1.35389,1.83785,0.75615,0.72271,0.78156,0.45218,1.33014,1.28588,1.87517,0.000896127,0.000896127,0.000896127
65,6361.29,1.26498,1.33115,1.82883,0.75449,0.67751,0.73912,0.43639,1.28431,1.30929,1.85499,0.000892928,0.000892928,0.000892928
66,6458.59,1.28741,1.36,1.85202,0.78008,0.6729,0.7709,0.47056,1.26743,1.29868,1.82538,0.000889687,0.000889687,0.000889687
67,6555.9,1.22662,1.32393,1.78657,0.80972,0.72651,0.81279,0.48941,1.28864,1.21683,1.83657,0.000886404,0.000886404,0.000886404
68,6653.06,1.21431,1.27591,1.80359,0.75013,0.73171,0.76369,0.44251,1.34153,1.26667,1.90471,0.000883079,0.000883079,0.000883079
69,6750.48,1.26506,1.31413,1.81945,0.7496,0.68293,0.76694,0.45853,1.28464,1.30639,1.83568,0.000879713,0.000879713,0.000879713
70,6847.59,1.22972,1.25019,1.80463,0.78363,0.71545,0.80304,0.48372,1.29219,1.20582,1.8438,0.000876305,0.000876305,0.000876305
71,6944.83,1.22157,1.2758,1.79827,0.77264,0.70915,0.78083,0.47368,1.27078,1.27522,1.83506,0.000872857,0.000872857,0.000872857
72,7041.85,1.25123,1.28209,1.815,0.78668,0.71274,0.78107,0.43588,1.39636,1.29492,1.90943,0.000869368,0.000869368,0.000869368
73,7138.96,1.2116,1.24392,1.78013,0.78135,0.73442,0.7777,0.45765,1.32515,1.24208,1.87899,0.000865839,0.000865839,0.000865839
74,7235.9,1.20171,1.24966,1.78622,0.74568,0.63686,0.72967,0.43469,1.27889,1.40704,1.85639,0.000862271,0.000862271,0.000862271
75,7333.01,1.19486,1.27563,1.77033,0.81645,0.72325,0.80883,0.47921,1.3437,1.16658,1.87491,0.000858664,0.000858664,0.000858664
76,7430.09,1.21905,1.25301,1.79184,0.75836,0.69377,0.77386,0.41348,1.4528,1.31787,1.96316,0.000855018,0.000855018,0.000855018
77,7527.26,1.22151,1.27766,1.7807,0.75195,0.72087,0.78712,0.49266,1.19264,1.34138,1.72811,0.000851333,0.000851333,0.000851333
78,7624.37,1.20674,1.26872,1.76182,0.75793,0.6958,0.75396,0.42017,1.45006,1.25994,2.00481,0.000847611,0.000847611,0.000847611
79,7721.55,1.22951,1.24677,1.79688,0.77681,0.69648,0.77839,0.47675,1.24699,1.28287,1.78785,0.000843851,0.000843851,0.000843851
80,7818.79,1.19015,1.27962,1.76134,0.81999,0.74526,0.81919,0.49555,1.23057,1.17911,1.7733,0.000840054,0.000840054,0.000840054
81,7916.15,1.18416,1.24113,1.76313,0.76628,0.75524,0.80211,0.49896,1.22722,1.18156,1.78113,0.00083622,0.00083622,0.00083622
82,8013.84,1.20625,1.21582,1.77448,0.76058,0.72317,0.81009,0.4823,1.26214,1.20308,1.81938,0.000832349,0.000832349,0.000832349
83,8111.2,1.16957,1.17168,1.73213,0.81022,0.75339,0.81593,0.51333,1.24415,1.11043,1.79437,0.000828443,0.000828443,0.000828443
84,8208.49,1.19103,1.18202,1.75501,0.74244,0.73713,0.77732,0.49082,1.20113,1.23766,1.76705,0.000824502,0.000824502,0.000824502
85,8305.86,1.16553,1.19702,1.72927,0.76749,0.71003,0.79053,0.48926,1.24943,1.14817,1.81879,0.000820525,0.000820525,0.000820525
86,8403.2,1.19178,1.19549,1.76506,0.8273,0.73997,0.81633,0.51615,1.21708,1.08694,1.77903,0.000816514,0.000816514,0.000816514
87,8500.5,1.1585,1.1738,1.72904,0.79097,0.73984,0.82576,0.52295,1.19026,1.10464,1.73597,0.000812468,0.000812468,0.000812468
88,8597.76,1.15147,1.19584,1.71116,0.80848,0.72073,0.82706,0.51762,1.21062,1.11954,1.75893,0.000808389,0.000808389,0.000808389
89,8694.85,1.13084,1.12762,1.69889,0.80153,0.73328,0.79849,0.48598,1.27335,1.13944,1.82773,0.000804277,0.000804277,0.000804277
